NomSite,Adresse,CodePostal,CodeSite,NbBornes,Latitude,Longitude
PREFOURRIERE BALARD,1 RUE EMILE HEMINGWAY,75015,,1,48.8375955343,2.27517600716
BIBLIOTHEQUE GUTENBERG,8 RUE DE LA MONTAGNE D AULAS,75015,PW0145,1,48.8402076064,2.27870642421
CENTRE SPORTIF PLAINE,13 RUE DU GENERAL GUILLAUMAT,75015,PW0088,1,48.8280331741,2.29332761077
BIBLIOTHEQUE VAUGIRARD,154 RUE LECOURBE,75015,PW0137,2,48.8417075067,2.299350322
MAIRIE DU 15 EME,31 RUE DE PECLET,75015,PW0014,2,48.8415157494,2.29988438758
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 15,22 RUE DE LA SAIDA,75015,PW0031,2,48.8318321726,2.29575609576
ESPACE PARISIEN POUR L INSERTION 7 15 16,14 RUE MOISANT,75015,PW0162,1,48.8423101169,2.3172057616
BIBLIOTHEQUE ANDRÉE CHEDID,36-40 RUE EMERIAU,75015,PW0117,3,48.8497413105,2.28613674375
CENTRE SPORTIF SUZANNE LENGLEN - STADE DE RUDBY,2  RUE LOUIS ARMAND,75015,PW0173-2,1,48.8328810737,2.27660615944
CENTRE SPORTIF CHARLES RIGOULOT,18 AVENUE DE LA PORTE BRANCION,75015,PW0075,1,48.8266335927,2.30041746551
CENTRE SPORTIF SUZANNE LENGLEN - TRIBUNE COUR DE TENNIS,2 RUE LOUIS ARMAND,75015,PW0173,1,48.8329646707,2.27683278955
JARDIN DU TROCADERO,1 PLACE DU ONZE NOVEMBRE 1918,75016,PW0175,1,48.8609372147,2.28934994437
BIBLIOTHEQUE GERMAINE TILLION,6 RUE DU COMMANDANT SCHLOESING,75016,PW0113,2,48.8618363826,2.28427079122
MUSEE D ART MODERNE,11 AVENUE DU PRESIDENT WILSON,75016,PW0211,11,48.8647101823,2.29699733667
STADE PIERRE DE COUBERTIN,82 AVENUE GEORGES LAFONT,75016,PW0108,4,48.8354989458,2.25576069335
JARDIN MUSEE GALLIERA,10 AVENUE PIERRE IER DE SERBIE,75016,,1,48.8658585587,2.29699237535
PREFOURRIERE FOCH,8 AVENUE FOCH,75016,,1,48.8738124954,2.29173934485
CENTRE SPORTIF HENRY DE MONTHERLAND,30-32 BOULEVARD LANNES,75016,PW0101,1,48.8675228068,2.27212085381
MAIRIE DU 16 EME,71 AVENUE HENRI-MARTIN,75016,PW0015,1,48.8639407702,2.2766525219
PISCINE AUTEUIL,1 ROUTE DES LACS A PASSY,75016,PW0102,1,48.858152594,2.26156748231
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 16,14-16 AVENUE RENE BOYLESVE,75016,PW0041,2,48.8567504745,2.28383673376
BIBLIOTHEQUE MUSSET,20 RUE MUSSET,75016,PW0140,1,48.8420822374,2.26353969865
MUSEE BALZAC,47 RUE RAYNOUARD,75016,PW0202,10,48.8553935976,2.2807177166
BIBLIOTHEQUE EDMOND ROSTAND,11 RUE NICOLAS CHUQUET,75017,PW0104,2,48.8883943592,2.30308970568
BIBLIOTHEQUE BATIGNOLLES,18 RUE DES BATIGNOLLES,75017,PW0133,1,48.884754514,2.32212094544
CENTRE SPORTIF LEON BIANCOTTO,6 AVENUE DE LA PORTE DE CLICHY,75017,PW0098,1,48.8957682345,2.31183047537
MAIRIE DU 17 EME,16/20 RUE DES BATIGNOLLES,75017,PW0016,2,48.8844937686,2.32183436031
